name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
Reebok Fluxlite Men's Training Shoes,2999,Brand New,0,True,
NEW CHINATOWN MARKET INDOOR BASKETBALL SECRET CLUB MONOGRAM DESIGNER RARE,5000,New (Other),7630,False,
PUMA Men's Playmaker Pro Basketball Shoes,3499,Brand New,0,True,70
MICHAEL JORDAN 1996-97 Fleer ULTRA DECADE Excellence Rookie Card #U4 GEM MINT 10,2800,,0,True,110
2021-22 Panini Crown Royale Asia Tmall Basketball Factory Sealed Hobby Box NBA,4499,Brand New,0,False,857
Victor Wembanyama 2022 Top Deck Draft Picks Basketball Rookie Card,1200,,0,False,123
2021-22 Panini Prizm Basketball RED ICE PRIZM Parallels ***You Pick***,179,Pre-Owned,0,False,
NBA Basketball Hot Packs-Best on Ebay-15 Cards-5 Rookies- Look for Autos-Mem-1/1,950,Pre-Owned,495,False,
2021-22 PANINI PRIZM Basketball Inserts Base & Parallels ***You Pick***,149,Pre-Owned,0,False,
2021-22 Panini Prizm Basketball Orange Cracked Ice Singles YOU PICK + Buy & Save,129,Pre-Owned,0,False,
"10,000,000 Card Collection Baseball, Basketball, Football Sold In 9 Card Lots",244,Pre-Owned,0,False,
2021-22 Panini Optic Basketball Inserts *You Pick* Base & Parallels,149,Pre-Owned,0,False,
2021-22 Panini Optic Basketball Base Cards *You Pick* Vets & Rated Rookies 1-200,129,Pre-Owned,0,False,
PAOLO BANCHERO 2022-23 PANINI INSTANT 1ST GRADED 10 ROOKIE CARD RC #9 MAGIC,3499,,0,True,15
NBA BASKETBALL MYSTERY HITS *GUARANTEED GRADED CARD OR BONUS HIT*,999,Pre-Owned,540,False,
NBA Mega Hot Pack.  35 Basketball Cards 4 Autos/patch #1 Hot Pack seller,2799,Pre-Owned,350,True,
Michael Jordan - Chicago Bulls - Man-Myth-Legend - facsimile auto,350,,0,False,
2021-22 Panini Optic Basketball SILVER HOLO PARALLELS *You Pick* Rookies & Vets,149,Pre-Owned,0,False,
100 Vintage Basketball NBA Cards In Factory Sealed Packs Unopened Lot HOF Jordan,2516,Pre-Owned,0,True,
PANINI PRIZM 2021-22 NBA BASKETBALL FACTORY SEALED IN STOCK RETAIL (24 PACK) BOX,9995,Brand New,0,False,1136
2009 Stephen Curry Rookie Card! Steph #30 RC Gems! Golden State Warriors MINT!,999,Pre-Owned,100,True,91
2021-22 Panini Prizm Basketball PINK ICE PRIZM Parallels ***You Pick***,179,Pre-Owned,0,False,
ORIGINAL GRADEMASTER Card Grading / Centering Tool Created in 2015- PSA BGS SGC!,659,,0,False,
2008-09 Topps Chrome Basketball Orange Refractors - PICK YOUR PLAYER- All /499,200,Pre-Owned,199,False,
2021-22 Panini Prizm Basketball Emergent RC Insert Singles YOU PICK + Buy/Save,99,Pre-Owned,0,False,
