name,price,status,shipping,free_returns,items_sold

Shop on eBay,2000,Brand New,,False,

Python Programming: An Introduction to Computer Science - Paperback - GOOD,525,Pre-Owned,0,True,

"5 Steps to a 5 AP Computer Science Principles - Paperback By Sway, Julie - GOOD",439,Pre-Owned,0,True,

Help Your Kids with Computer Science - Paperback By DK - VERY GOOD,517,Pre-Owned,0,True,

New ListingProgrammingSeries Ser.: Python Programming : An Introduction to Computer Science,99,New (Other),483,False,

Computer Science Principles: The Foundational Concepts of Computer Science,283,Pre-Owned,0,False,

New ListingAlgorithms to Live By: The Computer Science of Human Decisions,808,New (Other),0,False,

"New ListingPython Programming: An Introduction to Computer Science, 3rd Ed.",2899,Pre-Owned,496,False,

New ListingData Structure Form And Function by Harry F. Smith- Computer Programming/Math,1495,Pre-Owned,0,True,

Elements of Programming Interviews in Python: The Insiders' Guide by Lee: New,1695,New (Other),0,True,

New ListingA Balanced Introduction to Computer Science by David Reed: Used,1003,Pre-Owned,449,False,

New ListingBarron's AP Computer Science A by Roselyn Teukolsky: Used,477,Pre-Owned,449,False,

Mathematical Structures for Computer Science : A Modern Treatment,597,Pre-Owned,0,False,

"Princeton Review AP Computer Science Principles Prep, 2023: 3 Practice Tes - NEW",3551,Brand New,0,True,

"Spatial Cognition IX: International Conference, Spatial (2014)",9000,Brand New,0,False,

"New ListingHaptics: Neuroscience, Devices, Modeling, and Applications: 9th",9000,Brand New,0,False,

New ListingScalable Uncertainty Management: 11th International Conference,9000,Brand New,0,False,

New ListingComputer Science: An Overview by J Glenn Brookshear: Used,954,Pre-Owned,449,False,

Fundamental Proof Methods in Computer Science: A Computer-Based Approach (The MI,716,New (Other),0,True,

New ListingJava Concepts: Advanced Placement Computer Science Study Guide by Trees: Used,530,Pre-Owned,449,False,

Computer Science in K-12: An A-To-Z Handbook on Teac... 9781734662702 by Unknown,2376,New (Other),399,False,

"New ListingCracking the AP Computer Science a Exam, 2019 Edition: Practice Tests & Proven",502,Pre-Owned,449,False,

"New ListingAdobe Photoshop, Flash Professional CS5, Dreamweaver Classroom in a Book w/ CD's",1695,Pre-Owned,895,False,

