name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
🚨🔥 HARLEY QUINN 23 NATHAN SZERDY 616 Virgin FOIL Tattoo Variant D,4000,Brand New,440,False,
HARLEY QUINN #25 (KAEL NGU BATMAN/SPAWN VARIANT)(2022) COMIC BOOK ~ DC Comics,599,Brand New,599,True,
HARLEY QUINN #20 (CARLA COHEN EXCLUSIVE VARIANT) COMIC BOOK ~ DC IN STOCK,1500,Brand New,449,True,
HARLEY QUINN #23 (NATHAN SZERDY EXCLUSIVE TRADE/VIRGIN TATTOO VARIANT SET) ~ DC,5000,Brand New,599,True,
Harley Quinn #1 Amano Variant - CGC 9.8,99,,1400,False,
HARLEY QUINN #23 COVER B LESLEY LEIRIX 2022,299,Brand New,499,True,
HARLEY QUINN 30TH ANNIVERSARY SPECIAL #1 NM (IVAN TAO EXCLUSIVE VIRGIN VARIANT),5200,Brand New,349,False,
HARLEY QUINN UNCOVERED #1  CVR A JAY ANACLETO 12/13 2022 PRESALE,539,Brand New,499,True,
🔥 HARLEY QUINN 30th ANNIVERSARY SPECIAL #1 CONNER 1:25 Ratio Variant,1199,Brand New,440,False,
Batman: The Animated Series Nurse Harley Quinn Resin Collectible Statue,4995,Pre-Owned,0,True,
Mcfarlane DC Multiverse figure Harley Quinn King Shark complete & excellent,999,Pre-Owned,493,True,
HARLEY QUINN 26 CVR C JENNY FRISON CS  11/25/22 PRESALE,449,Brand New,499,True,
HARLEY QUINN THE ANIMATED SERIES LEGION OF BATS #2 CVR A 2022,319,Brand New,499,True,
🔥 HARLEY QUINN 30th ANNIVERSARY SPECIAL #1 RICH NYCC 2022 Virgin Foil,5000,Brand New,440,False,
HARLEY QUINN VILLAIN OF THE YEAR #1 LOUW trade dress and virgin variants,6000,,0,False,
Harley Quinn 30th Anniversary Special #1 Select Covers 2022 DC Comics,625,,400,True,
HARLEY QUINN #22 (NATALI SANDERS 30TH ANNIVERSARY VARIANT) COMIC ~ DC Comics,499,Brand New,599,True,
HARLEY QUINN #25 CVR B FRANCESCO MATTINA CARD STOCK VAR 10/18/2022 PRESALE,479,Brand New,499,True,
1/6 Scale Harley Quinn Suicide Squad Baseball Bat Waterslide Decals,800,Brand New,115,False,
HARLEY QUINN #25 CVR A JONBOY MEYERS PRESALE 12/27/2022,375,Brand New,499,True,
DC Collectibles Batman The Animated Series Harley Quinn,3000,Pre-Owned,1260,False,
SHF Suicide Squad Harley Quinn PVC Action Figure NEW NO BOX,2299,Brand New,0,False,
HARLEY QUINN #23 (RACHTA LIN 1:25 RATIO VARIANT)(2022) COMIC ~ DC COMICS,2999,Brand New,599,True,
HARLEY QUINN #24 Warren Louw Variant,2106,Brand New,587,False,
Harley Quinn & Poison Ivy #1! (2019) Jay Anacleto Convention Virgin Variant! NM!,999,,735,False,
Harley Quinn #22 NYCC Foil Virgin Variant 2 Pack David Nakayama,7000,Brand New,1190,False,
"Harley Quinn Vol. 6: Angry Bird by Tieri, Frank",1600,Pre-Owned,0,True,
FUNKO POP! MOVIES: Suicide Squad - Harley Quinn [New Toy] Vinyl Figure,1098,Brand New,0,True,
HARLEY QUINN #25 CVR F KAEL NGU DC SPAWN CARD STOCK VARIANT PRESALE 12/27/2022,475,Brand New,499,True,
Death of Superman 30th Anniversary Special #1 Select Covers 2022 DC Comics,975,,400,True,
Lot of 5 Loot Crate Exclusive DC Comics Harley Quinn #1 ,1500,New (Other),416,False,
"HARLEY QUINN  DC COMICS 2016 Lot of 7 ALL VARIANTS - #58,59,60,62,63,64 65",2100,,416,False,
Harley Quinn #1 CGC SS 9.8 Shannon Maer VIRGIN Variant C COA 2021 DC Comics,6200,Brand New,955,False,
DC Comic Book Lot Harley Quinn / Poison Ivy,1000,Pre-Owned,416,False,
DCS HARLEY QUINN ROMANCES 1 ONESHOT CVR B DAVID TALASKI  11/25/22 PRESALE,899,Brand New,499,True,
Square Enix Play Arts Kai Arkham Asylum Harley Quinn Figure New MIB,500,Brand New,1275,False,
HARLEY QUINN 30TH ANNIVERSARY SPECIAL #1 DC COMICS COVER C ARTGERM VARIANT  nm,795,,595,False,
🔥🦇 DC VS VAMPIRES #11 NATHAN SZERDY Card Stock Cover B Variant HARLEY QUINN,499,Brand New,440,False,
Batman Who Laughs #5 * NM+ * Derrick Chew Minimal Trade Variant Harley Quinn 🔥,2800,,0,False,
"The Best Marvel & DC Comic Book Lot Collection, Keys, 1st App, #1 Issues & more",2195,Brand New,295,False,
Harley Quinn #17 Cover B Chew Card Stock DC Comics 2022 NM+,499,Brand New,399,False,
DC Comics Diamond Gallery Harley Quinn Gamestop Exclusive PVC Diorama Figure,1000,Brand New,1275,False,
MYSTERY PACK🔮COMIC BOOKS LOT🌟MOSTLY OLDER ISSUES!,2800,Pre-Owned,916,False,
DC DARK NIGHTS DEATH METAL DELUXE EDITION HARDCOVER 1-7 2021 UNWRAPPED READ ONCE,399,Pre-Owned,419,False,
Harley Quinn 2022 Annual,479,Brand New,650,False,
HARLEY QUINN #59 CHEW VARIANT,626,Brand New,599,False,
HARLEY QUINN ROAD TRIP SPECIAL #1 - NM - 1 for 25 Brett Blevins variant! 2015,798,Brand New,188,False,
Harley Quinn 15 VF 8.0 1st print Early Harley Quinn DC Comics 2001 Hard To Find,1399,Pre-Owned,675,False,
"HARLEY QUINN #21 (DERRICK CHEW ""HARLEY'S MULTIVERSE"" VARIANT) ~ DC",999,Brand New,599,True,
DC Collectibles Batman Mad Love The Joker And Harley Quinn Statue First Edition,1000,Brand New,1470,False,
Harley Quinn & Joker Talkie Figures 6 Iconic Phrases DC Super Friends Lot of 2,1300,Brand New,0,False,
Harley Quinn Animated Series Eat Bang Kill Tour 1 Cohen Variant NM DC HBO MAX,764,Brand New,595,False,
