name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
BURGER KING COD Modern Warfare 2 Burger Town Operator Skin 1HR 2XP MW2 INSTANT,899,Brand New,0,False,754
JACK LINKS COD Modern Warfare 2 1 Hour 2XP + 4 items [COMPLETE SET] MW2 INSTANT,2299,Brand New,0,False,394
Pokemon Scarlet and Violet ✨ CHOOSE ANY 6 SHINY BABY POKEMON ✨ + FREE 6IV DITTO!,1177,Brand New,0,False,418
Pokemon Scarlet Violet 6IV Shiny Starter 3 Pack Sprigatito Quaxly Fuecoco,899,Brand New,0,False,123
"Authentic Pokemon Games Gameboy Color, Advance, Nintendo DS, 3DS Bulk Discounts!",1999,Pre-Owned,0,True,
Pokemon Scarlet & Violet Shiny Pokemon 6IV Battle Ready!!,699,Pre-Owned,0,False,39
SHINY DITTO ✨JAPANESE & ENGLISH | 6 IV | MASUDA METHOD ✨SCARLET & VIOLET,399,Brand New,0,False,44
Pokemon Scarlet & Violet Shiny Eggs 6IV & Good Nature!!,1499,Pre-Owned,0,False,18
INSTANT DELIVERY - Modern Warfare 2: MW2 Jack Links Code - Double EXP+ 1/4 ITEMS,549,Brand New,0,False,200
Ditto Shiny Masuda Japanese 6IV - Pokemon Scarlet & Violet - Trading Now,300,New (Other),0,False,196
Pokemon Scarlet & Violet Shiny Pokemon 6IV Battle Ready!!,699,Pre-Owned,0,False,70
Shiny Ditto 6IV - Adamant nature - Pokemon Scarlet & Violet!,399,Brand New,0,True,399
Pokemon Scarlet & Violet Shiny 6 IV - Choose from any Pokemon!,399,Brand New,0,False,
Pokemon Scarlet and Violet PICK ANY x1 SHINY POKEDEX #201-400,799,Brand New,0,False,
Pokemon Scarlet Violet 6IV Shiny Eevee Pack of 9,1499,Brand New,0,False,93
Cod Modern Warfare 2: MW2 Jack Links Code - 2 Hours 2XP + 4 items [COMPLETE SET],2790,Brand New,0,False,1185
Pokemon Scarlet & Violet Perfect Shiny Eggs 6IV & Good Nature!!,1499,Pre-Owned,0,False,
NINTENDO WII GAME LOT YOU PICK CHOOSE BUY 2 GET 1 50% OFF ALL GAMES PLAY TESTED!,377,Pre-Owned,0,True,
Carnival Games Wii Game,547,Pre-Owned,395,True,88
Pokemon Scarlet and Violet PICK ANY x1 SHINY POKEDEX #1-200 (ALL 400 Available),799,Brand New,0,False,
"Wii Play Sports Games (Nintendo Wii, 2007) Complete With Manual",999,New (Other),0,False,
Pokemon Scarlet & Violet Shiny 6IV Starter Pick One Shiny Locked Masterball,698,Brand New,0,False,
Nintendo Switch Loose Games! You Pick & Choose! Buy More Save More! Over 60!,1600,Pre-Owned,0,False,
Shiny Ditto 6IV ✨ Japanese Masuda ✨Pokemon Scarlet & Violet 🚀Fast Trade🚀,399,Brand New,0,True,
Nintendo 64 N64 Original Video Game Cartridges *Authentic/Cleaned/Tested*,695,Pre-Owned,0,False,17
Splatoon 3 - Nintendo Switch New,,Brand New,0,True,2260
Nintendo 64 N64 Video Game Cartridges Cleaned/Tested CHOOSE GAMES !,2799,Brand New,0,False,
Pokémon Scarlet - Nintendo Switch New,4599,Brand New,0,True,482
POKEMON SCARLET & VIOLET✨ SHINY ✨DITTO MADUSA JAPANESE  6IV  ✈️ FAST DELIVERY ✈️,399,New (Other),0,False,932
Jack Links Ghillie Sasquatch Skin - 4 Code Set - Call of Duty Modern Warfare 2,2995,Brand New,0,False,307
🥇 Pokemon Scarlet and Violet 🥇 All 6IV Koraidon & Miraidon Bundle Free DITTO,699,Brand New,0,False,196
✉️💨[INSTANT DELIVERY] Jack Links Ghillie Sasquatch Skin - Cod Modern Warfare 2,2499,Brand New,0,False,33
Sony PSP Games Complete Fun You Pick & Choose Video Game Good Titles UMD Tested,691,Pre-Owned,0,True,
Nintendo Switch Games to Choose From,1899,New (Other),475,False,36
Nintendo Wii Games! You Choose from Huge List! $7.95 Each! Buy 3 Get 4th 50% Off,795,Pre-Owned,450,True,33
Nintendo Wii Games! Choose from Large Selection! $3.95-$5.95 Each! Buy 3 Get 1,395,Pre-Owned,450,True,156
Nintendo GameCube Games You Pick & Choose Video Game Lot,499,Pre-Owned,475,True,
