name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
vintage baseball bats lot MICKEY MANTLE Slugger PHILLIPS 66 BAT,1999,,999,False,
"New ListingGeorge Sisler 1920 s Vintage Baseball Bat, 33 ",25500,,2000,False,
New ListingVINTAGE BASEBALL~JOE DIMAGGIO LOUISVILLE SLIGGER~6.5” MECHANICAL PENCIL BAT ,999,,375,False,
SIX VINTAGE 1930'S/40's  LOUISVILLE SLUGGER SIGNATURE MINATURE BASEBALL BATs *,6766,,1000,False,
"1930s Jimmie Foxx 34"" Rawlings Vintage Baseball Bat Louisville Slugger Era ",4000,,995,False,
1930’s Vintage HONUS WAGNER Bat Co. 34” Kork Grip Baseball Softball Bat RARE,9999,,3720,False,
Vintage Mickey Mantle Louisville Slugger 125 Powerized Genuine Baseball Bat MM3,13999,,0,False,
1905-1910 Spalding 34”Mushroom Knob Baseball Bat Vintage Louisville Slugger Era,38000,,1999,False,
"1970s Mickey Mantle 35"" Vtg 125 Powerized Louisville Slugger Baseball Bat NM",4600,,995,False,
VINTAGE 40DB HILLERICH BRADSBY LOUISVILLE SLUGGER OFFICIAL DIAMOND BASEBALL BAT,900,,3720,False,
"1905-1910 Spalding 33"" Mushroom Knob Baseball Bat Vintage Louisville Slugger Era",38500,,995,False,
"1934-39 Joe Cronin 35"" Louisville Slugger Powerized 125 J.C Vintage Baseball Bat",2250,,995,False,
New ListingVintage Spalding League wooden  Baseball Bat,13999,,1295,False,
Vintage Baseball Bat Lot - Pete Rose- Shoeless Joe-,9999,,3462,False,
Syracuse NY souvenir baseball bat Kren’s Special 15” vintage,2495,,710,False,
New ListingAntique 1920s Goldsmith Model 88 Hickory Playground Wood Baseball Bat 32” Vtg,6900,,1295,False,
"1921-23 Honus Wagner 33"" Vintage 40W Louisville Slugger Decal Baseball Bat",36100,,995,False,
1800’s Antique FLAT BARREL BASEBALL BAT A Very Rare Baseball Relic Vintage,50000,,3210,False,
New ListingVintage Mini Baseball Bat Chas Gehringer Detroit Tigers,99,,1710,False,
New ListingThe Burley A J Reach Co Antique Baseball Bat Model L 8/0 1911-1929 Rare 33”,29900,,1227,False,
Antique 1932 Kork Grip Al Simmons Baseball Bat Hillerich,9100,,2399,False,
 Napoleon Lajoie 40L Decal Baseball Bat JF Hillerich & Son Co Dash Dot Dash Vtg,40500,,2765,False,
Vintage H&B Hillerich & Bradsby MICKEY MANTLE Model #1527 Baseball Bat,999,,1795,False,
Lou Gehrig Hillerich 125 Powerized Baseball Bat  1950-1964 Nice,20750,,3657,False,
Extremely Rare Vintage Louisville Slugger Aubrey Epps Baseball Bat 1 Pro-Game,4999,,900,False,
Antique Spalding Axletree Black End Baseball Bat 30” RARE Circa 1890’s,26500,,3720,False,
"1910-1915 Napoleon Lajoie 14"" Antique Louisville Slugger Mini Decal Baseball Bat",12950,,395,False,
1880's Flat Sided Baseball Bat Very Unique,25000,,3657,False,
"RARE VINTAGE GEORGE BRETT ROYALS LOUISVILLE SLUGGER  PRO MODEL BASEBALL BAT 34""",2799,,2050,False,
"1909-15 Ty Cobb 14"" Louisville Slugger Antique Mini Decal Baseball Bat ",16950,,395,False,
